Номер,Наименование,Адрес,Примечание
1,Проспект Ветеранов (вестибюль 1),"г.Санкт-Петербург, бульвар Новаторов, соор.2, лит. А",-
2,Проспект Ветеранов (вестибюль 2),"г.Санкт-Петербург, бульвар Новаторов, соор.2, лит. Б",-
3,Ленинский проспект (вестибюль 1),"г.Санкт-Петербург, бульвар Новаторов, соор.1, лит. Б",-
4,Ленинский проспект (вестибюль 2),"г.Санкт-Петербург, бульвар Новаторов, соор.1, лит. А",-
5,Автово,"Российская Федерация, Санкт-Петербург, внутригородское муниципальное образование города федерального значения Санкт-Петербурга муниципальный округ Автово, проспект Стачек, дом 90, корпус 2, литера А",-
6,Кировский завод,"г.Санкт-Петербург, пр. Стачек, д.70, лит.А",-
7,Нарвская,"г.Санкт-Петербург, пл. Стачек, д.2, лит. А",-
8,Балтийская,"Российская Федерация, Санкт Петербург, внутригородское муниципальное образование города федерального значения Санкт Петербурга муниципальный округ Измайловское, площадь Балтийского вокзала, дом 1, литера А, помещение 1НС",-
9,Пушкинская,"г. Санкт-Петербург, Загородный проспект, дом 52а, литера А, помещение 2-Н, 5-Н",-
10,Площадь Восстания (вестибюль 1),"Российская Федерация, Санкт-Петербург, внутригородское муниципальное образование города федерального значения Санкт-Петербурга муниципальный округ Смольнинское, площадь Восстания, дом 2, литера А",-
11,Площадь Восстания (вестибюль 2),"г.Санкт-Петербург, Невский пр., д.85, лит.В, пом. 1-Н",-
12,Чернышевская,"Российская Федерация, Санкт-Петербург, внутригородское муниципальное образование города федерального значения Санкт-Петербурга муниципальный округ Смольнинское, проспект Чернышевского, дом 20, литера А",-
13,Площадь Ленина (вестибюль 1),"г.Санкт-Петербург, пл. Ленина, д.6, лит.Б",-
14,Площадь Ленина (вестибюль 2),"г.Санкт-Петербург, Боткинская ул., д.5, лит.А",-
15,Выборгская,"г.Санкт-Петербург, ул. Смолячкова, д.21, лит.А",-
16,Лесная,"г.Санкт-Петербург, Кантемировская ул., д.25, лит.А",-
