Наименование станции,Время открытия,Время закрытия на вход,Время закрытия на выход,"Первый поезд в сторону станции «Рыбацкое», по нечетным дням","Первый поезд в сторону станции «Рыбацкое», по четным дням","Первый поезд в сторону станции «Приморская», по нечетным дням","Первый поезд в сторону станции «Приморская», по четным дням",Последний поезд в сторону станции «Рыбацкое»,Последний поезд в сторону станции «Приморская»,Примечание
Беговая,5-38,0-05,1-05,5-51,5-45,5-57,5-50,0-10,0-50,-
Вестибюль 1 станции Зенит (Новокрестовская),5-41,0-38,1-05,5-54,5-48,5-54,5-47,0-13,0-47,-
Вестибюль 2 станции Зенит (Новокрестовская),5-41,0-38,1-05,5-54,5-48,5-54,5-47,0-13,0-47,-
Приморская,5-45нечет 5-32 чет,0-35,1-00,5-59,5-42,6-05,5-46,0-17,0-43,-
Василеостровская,5-35,0-34,0-50,5-42,5-42,6-02,6-02,0-20,0-39,-
Гостиный двор,5-38,0-28,0-50,5-47,5-47,5-57,5-57,0-25,0-35,-
Маяковская,5-40,0-25,0-45,5-50,5-50,5-54,5-54,0-28,0-32,-
Площадь Александра Невского 1,5-32,0-25,0-45,5-53,5-53,5-51,5-51,0-31,0-29,-
Елизаровская,5-39,0-31,0-46,5-58,5-58,5-46,5-46,0-36,0-24,-
Ломоносовская,5-35,0-34,0-50,6-02,6-02,5-43,5-43,0-39,0-20,-
Пролетарская,5-36,0-35,0-55,5-45,6-05,5-50,5-59,0-42,0-17,-
Обухово,5-40,0-40,1-00,5-48,6-08,5-47,5-56,0-45,0-14,-
Рыбацкое,5-38,0-05,1-00,5-53,6-13,5-43,5-51,0-50,0-10,-
