Наименование станции,Время открытия,Время закрытия на вход,Время закрытия на выход,"Первый поезд в сторону станции «Парнас», по нечетным дням","Первый поезд в сторону станции «Парнас», по четным дням","Первый поезд в сторону станции «Купчино», по нечетным дням","Первый поезд в сторону станции «Купчино», по четным дням",Последний поезд в сторону станции «Парнас»,Последний поезд в сторону станции «Купчино»,Примечание
Купчино,5-28,0-00,1-04,5-33,5-33,6-04,6-04,0-05,0-54,-
Звездная,5-30,0-45,1-01,5-35,5-35,6-02,6-02,0-07,0-51,-
Вестибюль 1 станции Московская,5-33,0-41,0-57,5-39,5-39,5-58,6-04,0-11,0-47,-
Вестибюль 2 станции Московская,5-33,0-41,0-57,5-39,5-39,5-58,6-04,0-11,0-47,-
Парк Победы,Станция закрыта на реконструкцию,,,,,,,,,-
Электросила,5-38,0-38,0-53,5-45,5-45,5-59,5-59,0-16,0-43,-
Московские ворота,5-40,0-33,0-50,5-47,5-47,5-57,5-57,0-19,0-40,-
Фрунзенская,Станция закрыта на реконструкцию,,,,,,,,,-
Технологический институт 2,5-40,0-28,0-55,5-52,5-52,5-52,5-52,0-23,0-36,-
Сенная площадь,5-36,0-26,0-43,5-54,5-54,5-50,5-50,0-26,0-33,-
Вестибюль 1 станции Невский проспект,7-00,23-00,23-10,5-56,5-56,5-48,5-48,0-28,0-31,-
Вестибюль 2 станции Невский проспект,5-36,0-28,0-50,5-56,5-56,5-48,5-48,0-28,0-31,-
Горьковская,5-37,0-26,0-45,6-00,6-00,5-44,5-44,0-31,0-27,-
Петроградская,5-35,0-28,0-45,6-02,6-02,5-42,5-54,0-33,0-25,-
Черная речка,5-45,0-32,0-50,6-06,6-06,5-53,5-53,0-37,0-21,-
Пионерская,5-42,0-35,0-55,6-09,6-09,5-55,5-56,0-40,0-18,-
Удельная,5-40,0-38,0-55,5-58,6-12,5-47,5-47,0-43,0-16,-
Озерки,5-44,0-41,1-00,5-51,6-15,5-51,5-59,0-46,0-13,-
Проспект Просвещения,5-34нечет 5-39 чет,0-40,1-05,5-44,5-49,5-49,6-01,0-48,0-10,-
Парнас,5-40,0-02,1-02,5-48,5-53,5-45,6-04,0-52,0-07,-
